key,nt,unix
home,224 71,27 91 72
end,224 79,27 91 70
pg up,224 73,27 91 53 126
pg down,224 81,27 91 54 126
up,224 72,27 91 65
down,224 80,27 91 66
left,224 75,27 91 68
right,224 77,27 91 67
insert,224 82,27 91 50 126
delete,224 83,27 91 51 126
kp home,0 71,27 91 72
kp end,0 79,27 91 70
kp up,0 72,27 91 65
kp down,0 80,27 91 66
kp left,0 75,27 91 68
kp right,0 77,27 91 67
kp pgup,0 73,27 91 53 126
kp pgdn,0 81,27 91 54 126
f1,0 59,27 79 80
f2,0 60,27 79 81
f3,0 61,27 79 82
f4,0 62,27 79 83
f5,0 63,27 91 49 53 126
f6,0 64,27 91 49 55 126
f7,0 65,27 91 49 56 126
f8,0 66,27 91 49 57 126
f9,0 67,27 91 50 48 126
f10,0 68,captured by gnome terminal
f11,224 133,captured by gnome terminal
f12,224 134,27 91 50 52 126
